Cluster,Size,Self-connectivity,Out-connectivity,In-connectivity,Total-connectivity
0,103,0.0732938756328176,0.003774620100663331,0.003453712618273791,0.007228332718937108
1,125,0.2713036808930799,0.0017012438400468843,0.03994150350427922,0.04164274734432616
2,109,0.0432383204880009,0.01829861344216213,0.005188245392841212,0.023486858835003344
3,110,0.06670241498723663,0.01594864456095435,0.01132856376622797,0.027277208327182306
4,72,0.04648257205188551,0.020944439048825356,0.012152456392841432,0.0330968954416668
5,101,0.05614350408810801,0.015471370249947637,0.011078883692983259,0.02655025394293091
6,103,0.09771709178097487,0.0057442718419807165,0.006487574653632491,0.012231846495613208
7,86,0.07379621406170501,0.018667254818325305,0.016480430803125917,0.035147685621451236
8,100,0.046095867710712016,0.024906028209445402,0.0061370975937305935,0.031043125803176003
9,91,0.08217346975545482,0.017596502437673675,0.030804520132088925,0.048401022569762614
