Metric,Value
Total clusters,10.0
Average cluster size,1000.0
Max self-connectivity,0.2526996999060219
Min self-connectivity,0.045726818599435365
Max connectivity value,0.2526996999060219
Average connectivity,0.009999999999999993
Total connectivity sum,0.9999999999999993
